,species_id,park_code,park_name,order,family,scientific_name,common_names,record_status,occurrence,nativeness,abundance,seasonality,conservation_status,is_protected
56,ACAD-1056,ACAD,Acadia,Accipitriformes,Accipitridae,Accipiter gentilis,"Eastern Goshawk, Goshawk, Northern Goshawk",Approved,Present,Native,Uncommon,Breeder,Least Concern,False
57,ACAD-1057,ACAD,Acadia,Accipitriformes,Accipitridae,Accipiter striatus,"Northern Sharp-Shinned Hawk, Sharp-Shinned Hawk",Approved,Present,Native,Common,Breeder,Species of Concern,True
58,ACAD-1058,ACAD,Acadia,Accipitriformes,Accipitridae,Aquila chrysaetos,"American Golden Eagle, Golden Eagle",Approved,Present,Native,Occasional,Vagrant,Species of Concern,True
59,ACAD-1059,ACAD,Acadia,Accipitriformes,Accipitridae,Buteo jamaicensis,"Eastern Red-Tailed Hawk, Red-Tailed Hawk",Approved,Present,Native,Common,Breeder,Least Concern,False
60,ACAD-1060,ACAD,Acadia,Accipitriformes,Accipitridae,Buteo lagopus,"American Rough-Legged Hawk, Rough-Legged Hawk",Approved,Present,Native,Uncommon,Resident,Species of Concern,True
61,ACAD-1061,ACAD,Acadia,Accipitriformes,Accipitridae,Buteo lineatus,"Northern Red-Shouldered Hawk, Red-Shouldered Hawk",Approved,Present,Native,Occasional,Migratory,Species of Concern,True
62,ACAD-1062,ACAD,Acadia,Accipitriformes,Accipitridae,Buteo platypterus,"Broad-Winged Hawk, Northern Broad-Winged Hawk",Approved,Present,Native,Common,Breeder,Least Concern,False
64,ACAD-1064,ACAD,Acadia,Accipitriformes,Accipitridae,Circus cyaneus,"American Marsh Hawk, Marsh Hawk, Northern Harrier",Approved,Present,Native,Uncommon,Breeder,Species of Concern,True
65,ACAD-1065,ACAD,Acadia,Accipitriformes,Accipitridae,Haliaeetus leucocephalus,"Bald Eagle, Northern Bald Eagle",Approved,Present,Native,Common,Breeder,In Recovery,True
66,ACAD-1066,ACAD,Acadia,Accipitriformes,Cathartidae,Cathartes aura,"Eastern Turkey Vulture, Turkey Vulture",Approved,Present,Native,Common,Unknown,Species of Concern,True
67,ACAD-1067,ACAD,Acadia,Accipitriformes,Pandionidae,Pandion haliaetus,"American Osprey, Fish Hawk, Osprey",Approved,Present,Native,Common,Unknown,Species of Concern,True
69,ACAD-1069,ACAD,Acadia,Anseriformes,Anatidae,Anas acuta,"American Pintail, Northern Pintail, Pintail",Approved,Present,Native,Rare,Migratory,Least Concern,False
70,ACAD-1070,ACAD,Acadia,Anseriformes,Anatidae,Anas americana,"American Wigeon, Baldpate",Approved,Present,Native,Uncommon,Migratory,Least Concern,False
71,ACAD-1071,ACAD,Acadia,Anseriformes,Anatidae,Anas clypeata,"Northern Shoveler, Shoveller",Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False
72,ACAD-1072,ACAD,Acadia,Anseriformes,Anatidae,Anas crecca,Green-Winged Teal,Approved,Present,Native,Common,Breeder,Least Concern,False
74,ACAD-1074,ACAD,Acadia,Anseriformes,Anatidae,Anas penelope,"Eurasian Wigeon, European Widgeon, Widgeon",Approved,Present,Not Native,Unknown,Vagrant,Least Concern,False
75,ACAD-1075,ACAD,Acadia,Anseriformes,Anatidae,Anas platyrhynchos,"Common Mallard, Mallard",Approved,Present,Unknown,Common,Breeder,Least Concern,False
76,ACAD-1076,ACAD,Acadia,Anseriformes,Anatidae,Anas rubripes,"American Black Duck, Black Duck, Common Black Duck, Red-Legged Black Duck",Approved,Present,Native,Abundant,Breeder,Least Concern,False
78,ACAD-1078,ACAD,Acadia,Anseriformes,Anatidae,Anser albifrons,"Common White-Fronted Goose, Greater White-Fronted Goose",Approved,Present,Unknown,Occasional,Vagrant,Least Concern,False
79,ACAD-1079,ACAD,Acadia,Anseriformes,Anatidae,Aythya affinis,"Lesser Scaup, Lesser Scaup Duck",Approved,Not Confirmed,Unknown,Unknown,Migratory,Species of Concern,True
