,species_id,park_code,park_name,order,family,scientific_name,common_names,record_status,occurrence,nativeness,abundance,seasonality,conservation_status,is_protected
19294,CRLA-1232,CRLA,Crater Lake,Passeriformes,Fringillidae,Coccothraustes vespertinus brooksi,,Approved,Not Confirmed,Native,Unknown,Unknown,Least Concern,False
19350,CRLA-1288,CRLA,Crater Lake,Passeriformes,Troglodytidae,Troglodytes troglodytes pacificus,,Approved,Present,Native,Uncommon,Breeder,Least Concern,False
26298,DEVA-1213,DEVA,Death Valley,Passeriformes,Paridae,Parus inornatus griseus,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26308,DEVA-1223,DEVA,Death Valley,Accipitriformes,Accipitridae,Buteo lineatus elegans,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26342,DEVA-1257,DEVA,Death Valley,Anseriformes,Anatidae,Branta canadensis occidentalis,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26433,DEVA-1348,DEVA,Death Valley,Charadriiformes,Scolopacidae,Symphemia semipalmata inornata,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26456,DEVA-1371,DEVA,Death Valley,Falconiformes,Falconidae,Falco columbarius richardsonii,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26464,DEVA-1379,DEVA,Death Valley,Galliformes,Odontophoridae,Oreortyx pictus plumifer,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26487,DEVA-1402,DEVA,Death Valley,Passeriformes,Aegithalidae,Psaltriparus minimus californicus,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26489,DEVA-1404,DEVA,Death Valley,Passeriformes,Alaudidae,Otocoris alpestris arenicola,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26490,DEVA-1405,DEVA,Death Valley,Passeriformes,Alaudidae,Otocoris alpestris chrysolaema,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26533,DEVA-1448,DEVA,Death Valley,Passeriformes,Emberizidae,Amphispiza belli belli,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Species of Concern,True
26548,DEVA-1463,DEVA,Death Valley,Passeriformes,Emberizidae,Passerella iliaca megarhyncha,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26550,DEVA-1465,DEVA,Death Valley,Passeriformes,Emberizidae,Passerella iliaca unalaschcensis,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26555,DEVA-1470,DEVA,Death Valley,Passeriformes,Emberizidae,Pipilo fuscus crissalis,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26556,DEVA-1471,DEVA,Death Valley,Passeriformes,Emberizidae,Pipilo fuscus mesoleucus,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26558,DEVA-1473,DEVA,Death Valley,Passeriformes,Emberizidae,Pipilo maculatus megalonyx,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26564,DEVA-1479,DEVA,Death Valley,Passeriformes,Emberizidae,Spizella monticola ochracea,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26568,DEVA-1483,DEVA,Death Valley,Passeriformes,Emberizidae,Spizella socialis arizonae,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26584,DEVA-1499,DEVA,Death Valley,Passeriformes,Fringillidae,Spinus psaltria arizonae,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26589,DEVA-1504,DEVA,Death Valley,Passeriformes,Hirundinidae,Progne subis hesperia,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26632,DEVA-1547,DEVA,Death Valley,Passeriformes,Paridae,Parus rufescens neglectus,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26654,DEVA-1569,DEVA,Death Valley,Passeriformes,Parulidae,Seiurus noveboracensis notabilis,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26675,DEVA-1590,DEVA,Death Valley,Passeriformes,Parulidae,Sylvania pusilla pileolata,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26679,DEVA-1594,DEVA,Death Valley,Passeriformes,Passeridae,Passer domesticus hostilis,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26696,DEVA-1611,DEVA,Death Valley,Passeriformes,Sylviidae,Chamaea fasciata henshawi,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26703,DEVA-1618,DEVA,Death Valley,Passeriformes,Troglodytidae,Thryothorus bewickii spilurus,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26705,DEVA-1620,DEVA,Death Valley,Passeriformes,Troglodytidae,Troglodytes aedon aztecus,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26718,DEVA-1633,DEVA,Death Valley,Passeriformes,Turdidae,Turdus aonalaschkae auduboni,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
