,species_id,park_code,park_name,order,family,scientific_name,common_names,record_status,occurrence,nativeness,abundance,seasonality,conservation_status,is_protected
4301,BIBE-1155,BIBE,Big Bend,Caprimulgiformes,Caprimulgidae,Chordeiles,Nighthawks,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
4459,BIBE-1313,BIBE,Big Bend,Passeriformes,Icteridae,Sturnella,Meadowlarks,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
6579,BISC-1164,BISC,Biscayne,Passeriformes,Parulidae,Dendroica,Warbler,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
6615,BISC-1200,BISC,Biscayne,Passeriformes,Sturnidae,Sturnus,Starling,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
6660,BISC-1245,BISC,Biscayne,Piciformes,Picidae,Picoides,Woodpecker,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
16833,CONG-1090,CONG,Congaree,Gruiformes,Rallidae,Rallidae,"Coots, Rails, Waterhens",In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
16942,CONG-1199,CONG,Congaree,Passeriformes,Tyrannidae,Empidonax,Empidonax Sp.,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
19163,CRLA-1101,CRLA,Crater Lake,Accipitriformes,Accipitridae,Accipitrinae,Eagle,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
19203,CRLA-1141,CRLA,Crater Lake,Apodiformes,Trochilidae,Trochilidae,Hummingbird,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
19226,CRLA-1164,CRLA,Crater Lake,Falconiformes,,Falconiformes,"Falconiforms, Falcons",In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
19410,CRLA-1348,CRLA,Crater Lake,Strigiformes,Tytonidae,Tytonidae,Barn Owl,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
24861,DENA-1096,DENA,Denali,Charadriiformes,Scolopacidae,Arenaria,,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26300,DEVA-1215,DEVA,Death Valley,Accipitriformes,Accipitridae,Accipiter,Bird Hawks,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26323,DEVA-1238,DEVA,Death Valley,Anseriformes,Anatidae,Anas,Dabbling Ducks,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26335,DEVA-1250,DEVA,Death Valley,Anseriformes,Anatidae,Aythya,Diving Ducks,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26372,DEVA-1287,DEVA,Death Valley,Apodiformes,Trochilidae,Selasphorus,Rufous Hummingbirds,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26376,DEVA-1291,DEVA,Death Valley,Caprimulgiformes,Caprimulgidae,Chordeiles,Nighthawks,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
26391,DEVA-1306,DEVA,Death Valley,Charadriiformes,Laridae,Larus,"Gulls, Ivory Gulls, Kittiwakes, Ross' Gulls, Sabine's Gulls",In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
