species_id,park_code,park_name,order,family,scientific_name,common_names,raptor_group,record_status,occurrence,nativeness,abundance,seasonality,conservation_status,is_protected,raptor_sci_fam,is_raptor
ACAD-1055,ACAD,Acadia,Accipitriformes,Accipitridae,Accipiter cooperii,Cooper's Hawk,Hawk,Approved,Present,Native,Uncommon,Unknown,Species of Concern,True,Accipitridae,True
ACAD-1056,ACAD,Acadia,Accipitriformes,Accipitridae,Accipiter gentilis,Northern Goshawk,Hawk,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,Accipitridae,True
ACAD-1057,ACAD,Acadia,Accipitriformes,Accipitridae,Accipiter striatus,Sharp-Shinned Hawk,Hawk,Approved,Present,Native,Common,Breeder,Species of Concern,True,Accipitridae,True
ACAD-1058,ACAD,Acadia,Accipitriformes,Accipitridae,Aquila chrysaetos,Golden Eagle,Eagle,Approved,Present,Native,Occasional,Vagrant,Species of Concern,True,Accipitridae,True
ACAD-1059,ACAD,Acadia,Accipitriformes,Accipitridae,Buteo jamaicensis,Red-Tailed Hawk,Hawk,Approved,Present,Native,Common,Breeder,Least Concern,False,Accipitridae,True
ACAD-1060,ACAD,Acadia,Accipitriformes,Accipitridae,Buteo lagopus,Rough-Legged Hawk,Hawk,Approved,Present,Native,Uncommon,Resident,Species of Concern,True,Accipitridae,True
ACAD-1061,ACAD,Acadia,Accipitriformes,Accipitridae,Buteo lineatus,Red-Shouldered Hawk,Hawk,Approved,Present,Native,Occasional,Migratory,Species of Concern,True,Accipitridae,True
ACAD-1062,ACAD,Acadia,Accipitriformes,Accipitridae,Buteo platypterus,Broad-Winged Hawk,Hawk,Approved,Present,Native,Common,Breeder,Least Concern,False,Accipitridae,True
ACAD-1063,ACAD,Acadia,Accipitriformes,Accipitridae,Buteo swainsoni,Swainson's Hawk,Hawk,Approved,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False,Accipitridae,True
ACAD-1064,ACAD,Acadia,Accipitriformes,Accipitridae,Circus cyaneus,Northern Harrier,Harrier,Approved,Present,Native,Uncommon,Breeder,Species of Concern,True,Accipitridae,True
