park_code,species_code,record_status,occurrence,nativeness,abundance,seasonality,conservation_status,is_protected,raptor_sci_fam,is_raptor
ACAD,0001,Approved,Present,Native,Uncommon,Unknown,Species of Concern,True,Accipitridae,True
ACAD,0002,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,Accipitridae,True
ACAD,0005,Approved,Present,Native,Common,Breeder,Species of Concern,True,Accipitridae,True
ACAD,0089,Approved,Present,Native,Occasional,Vagrant,Species of Concern,True,Accipitridae,True
ACAD,0156,Approved,Present,Native,Common,Breeder,Least Concern,False,Accipitridae,True
ACAD,0161,Approved,Present,Native,Uncommon,Resident,Species of Concern,True,Accipitridae,True
ACAD,0162,Approved,Present,Native,Occasional,Migratory,Species of Concern,True,Accipitridae,True
ACAD,0166,Approved,Present,Native,Common,Breeder,Least Concern,False,Accipitridae,True
ACAD,0169,Approved,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False,Accipitridae,True
ACAD,0294,Approved,Present,Native,Uncommon,Breeder,Species of Concern,True,Accipitridae,True
ACAD,0508,Approved,Present,Native,Common,Breeder,In Recovery,True,Accipitridae,True
ACAD,0234,Approved,Present,Native,Common,Unknown,Species of Concern,True,Cathartidae,True
ACAD,0724,Approved,Present,Native,Common,Unknown,Species of Concern,True,Pandionidae,True
ACAD,0030,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
ACAD,0052,Approved,Present,Native,Rare,Migratory,Least Concern,False,,False
ACAD,0053,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
ACAD,0055,Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False,,False
ACAD,0056,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
ACAD,0059,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
ACAD,0061,Approved,Present,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD,0062,Approved,Present,Unknown,Common,Breeder,Least Concern,False,,False
ACAD,0065,Approved,Present,Native,Abundant,Breeder,Least Concern,False,,False
ACAD,0067,Approved,Present,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD,0073,Approved,Present,Unknown,Occasional,Vagrant,Least Concern,False,,False
ACAD,0108,Approved,Not Confirmed,Unknown,Unknown,Migratory,Species of Concern,True,,False
ACAD,0109,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD,0110,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
ACAD,0112,Approved,Present,Native,Common,Resident,Least Concern,False,,False
ACAD,0113,Approved,Present,Not Native,Occasional,Vagrant,Least Concern,False,,False
ACAD,0133,Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False,,False
