species_code,order,family,scientific_name,common_name,raptor_group
0001,Accipitriformes,Accipitridae,Accipiter cooperii,Cooper's Hawk,Hawk
0002,Accipitriformes,Accipitridae,Accipiter gentilis,Northern Goshawk,Hawk
0003,Accipitriformes,Accipitridae,Accipiter gentilis atricapillus,Northern Goshawk (atricapillus subspecies),Hawk
0004,Accipitriformes,Accipitridae,Accipiter gentilis laingi,Northern Goshawk (laingi subspecies),Hawk
0005,Accipitriformes,Accipitridae,Accipiter striatus,Sharp-Shinned Hawk,Hawk
0006,Accipitriformes,Accipitridae,Accipiter striatus velox,Sharp-Shinned Hawk (velox subspecies),Hawk
0007,Passeriformes,Sturnidae,Acridotheres tristis,Common Myna,N/A
0008,Charadriiformes,Scolopacidae,Actitis hypoleucos,Common Sandpiper,N/A
0009,Charadriiformes,Scolopacidae,Actitis macularius,Spotted Sandpiper,N/A
0010,Podicipediformes,Podicipedidae,Aechmophorus clarkii,Clark's Grebe,N/A
0011,Podicipediformes,Podicipedidae,Aechmophorus occidentalis,Western Grebe,N/A
0012,Strigiformes,Strigidae,Aegolius acadicus,Northern Saw-Whet Owl,Owl
0013,Strigiformes,Strigidae,Aegolius funereus,Boreal Owl,Owl
0014,Apodiformes,Apodidae,Aeronautes saxatalis,White-Throated Swift,N/A
0015,Apodiformes,Apodidae,Aeronautes saxatalis saxatalis,White-Throated Swift (saxatalis subspecies),N/A
0016,Charadriiformes,Alcidae,Aethia cristatella,Crested Auklet,N/A
0017,Charadriiformes,Alcidae,Aethia psittacula,Parakeet Auklet,N/A
0018,Charadriiformes,Alcidae,Aethia pusilla,Least Auklet,N/A
0019,Passeriformes,Icteridae,Agelaius phoeniceus,Red-Winged Blackbird,N/A
0020,Passeriformes,Icteridae,Agelaius phoeniceus caurinus,Red-Winged Blackbird (caurinus subspecies),N/A
0021,Passeriformes,Icteridae,Agelaius phoeniceus nevadensis,Red-Winged Blackbird (nevadensis subspecies),N/A
0022,Passeriformes,Icteridae,Agelaius phoeniceus phoeniceus,Red-Winged Blackbird (phoeniceus subspecies),N/A
0023,Passeriformes,Icteridae,Agelaius tricolor,Tricolored Blackbird,N/A
0024,Passeriformes,Emberizidae,Aimophila aestivalis,Bachman's Sparrow,N/A
0025,Passeriformes,Emberizidae,Aimophila aestivalis bachmani,Bachman's Sparrow (bachmani subspecies),N/A
0026,Passeriformes,Emberizidae,Aimophila carpalis,Rufous-Winged Sparrow,N/A
0027,Passeriformes,Emberizidae,Aimophila cassinii,Cassin's Sparrow,N/A
0028,Passeriformes,Emberizidae,Aimophila ruficeps,Rufous-Crowned Sparrow,N/A
0029,Passeriformes,Emberizidae,Aimophila ruficeps scottii,Rufous-Crowned Sparrow (scottii subspecies),N/A
0030,Anseriformes,Anatidae,Aix sponsa,Wood Duck,N/A
0031,Passeriformes,Alaudidae,Alauda arvensis,Eurasian Sky Lark,N/A
0032,Charadriiformes,Alcidae,Alca torda,"Northern Razor-Billed Auk, Razorbill",N/A
0033,Galliformes,Phasianidae,Alectoris chukar,Chukar,N/A
0034,Galliformes,Phasianidae,Alectoris graeca,Rock Partridge,N/A
0035,Charadriiformes,Alcidae,Alle alle,Dovekie,N/A
0036,Anseriformes,Anatidae,Alopochen aegyptiaca,Egyptian Goose,N/A
0037,Apodiformes,Trochilidae,Amazilia beryllina,Berylline Hummingbird,N/A
0038,Apodiformes,Trochilidae,Amazilia violiceps,Violet-Crowned Hummingbird,N/A
0039,Passeriformes,Emberizidae,Ammodramus bairdii,Baird's Sparrow,N/A
0040,Passeriformes,Emberizidae,Ammodramus caudacutus,"Saltmarsh Sharp-Tailed Sparrow, Saltmarsh Sparrow",N/A
0041,Passeriformes,Emberizidae,Ammodramus henslowii,Henslow's Sparrow,N/A
0042,Passeriformes,Emberizidae,Ammodramus leconteii,Le Conte's Sparrow,N/A
0043,Passeriformes,Emberizidae,Ammodramus maritimus,Seaside Sparrow,N/A
0044,Passeriformes,Emberizidae,Ammodramus maritimus mirabilis,Seaside Sparrow (mirabilis subspecies),N/A
0045,Passeriformes,Emberizidae,Ammodramus nelsoni,Nelson's Sharp-Tailed Sparrow,N/A
0046,Passeriformes,Emberizidae,Ammodramus savannarum,Grasshopper Sparrow,N/A
0047,Passeriformes,Emberizidae,Ammodramus savannarum perpallidus,Grasshopper Sparrow (perpallidus subspecies),N/A
0048,Passeriformes,Emberizidae,Amphispiza belli,Sage Sparrow,N/A
0049,Passeriformes,Emberizidae,Amphispiza belli belli,Sage Sparrow (belli subspecies),N/A
0050,Passeriformes,Emberizidae,Amphispiza bilineata,Black-Throated Sparrow,N/A
0051,Passeriformes,Emberizidae,Amphispiza bilineata deserticola,Black-Throated Sparrow (deserticola subspecies),N/A
0052,Anseriformes,Anatidae,Anas acuta,Northern Pintail,N/A
0053,Anseriformes,Anatidae,Anas americana,American Wigeon,N/A
0054,Anseriformes,Anatidae,Anas bahamensis,White-Cheeked Pintail,N/A
0055,Anseriformes,Anatidae,Anas clypeata,Northern Shoveler,N/A
0056,Anseriformes,Anatidae,Anas crecca,Green-Winged Teal,N/A
0057,Anseriformes,Anatidae,Anas crecca carolinensis,Green-Winged Teal (carolinensis subspecies),N/A
0058,Anseriformes,Anatidae,Anas cyanoptera,Cinnamon Teal,N/A
0059,Anseriformes,Anatidae,Anas discors,Blue-Winged Teal,N/A
0060,Anseriformes,Anatidae,Anas fulvigula,Mottled Duck,N/A
0061,Anseriformes,Anatidae,Anas penelope,Eurasian Wigeon,N/A
0062,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,N/A
0063,Anseriformes,Anatidae,Anas platyrhynchos platyrhynchos,Mallard (platyrhynchos subspecies),N/A
0064,Anseriformes,Anatidae,Anas querquedula,Garganey,N/A
0065,Anseriformes,Anatidae,Anas rubripes,American Black Duck,N/A
0066,Anseriformes,Anatidae,Anas rubripes X platyrhynchos,American Black Duck (platyrhynchos subspecies),N/A
0067,Anseriformes,Anatidae,Anas strepera,Gadwall,N/A
0068,Anseriformes,Anatidae,Anas wyvilliana,"Hawaiian Duck, Koloa",N/A
0069,Suliformes,Anhingidae,Anhinga anhinga,Anhinga,N/A
0070,Charadriiformes,Laridae,Anous minutus,Black Noddy,N/A
0071,Charadriiformes,Laridae,Anous minutus melanogenys,Black Noddy (melanogenys subspecies),N/A
0072,Charadriiformes,Laridae,Anous stolidus,Brown Noddy,N/A
0073,Anseriformes,Anatidae,Anser albifrons,Greater White-Fronted Goose,N/A
0074,Anseriformes,Anatidae,Anser albifrons flavirostris,Greater White-Fronted Goose (flavirostris subspecies),N/A
0075,Passeriformes,Motacillidae,Anthus cervinus,Red-Throated Pipit,N/A
0076,Passeriformes,Motacillidae,Anthus rubescens,American Pipit,N/A
0077,Passeriformes,Motacillidae,Anthus rubescens japonicus,American Pipit (japonicus subspecies),N/A
0078,Passeriformes,Motacillidae,Anthus spinoletta,Water Pipit,N/A
0079,Passeriformes,Motacillidae,Anthus spinoletta rubescens,Water Pipit (rubescens subspecies),N/A
0080,Passeriformes,Motacillidae,Anthus spragueii,Sprague's Pipit,N/A
0081,Passeriformes,Corvidae,Aphelocoma californica,Western Scrub-Jay,N/A
0082,Passeriformes,Corvidae,Aphelocoma coerulescens,Scrub Jay,N/A
0083,Passeriformes,Corvidae,Aphelocoma coerulescens californica,Scrub Jay (californica subspecies),N/A
0084,Passeriformes,Corvidae,Aphelocoma coerulescens nevadae,Scrub Jay (nevadae subspecies),N/A
0085,Passeriformes,Corvidae,Aphelocoma insularis,Island Scrub Jay,N/A
0086,Passeriformes,Corvidae,Aphelocoma ultramarina,Mexican Jay,N/A
0087,Passeriformes,Corvidae,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,N/A
0088,Charadriiformes,Scolopacidae,Aphriza virgata,Surfbird,N/A
0089,Accipitriformes,Accipitridae,Aquila chrysaetos,Golden Eagle,Eagle
0090,Accipitriformes,Accipitridae,Aquila chrysaetos canadensis,Golden Eagle (canadensis subspecies),Eagle
0091,Gruiformes,Aramidae,Aramus guarauna,Limpkin,N/A
0092,Apodiformes,Trochilidae,Archilochus alexandri,Black-Chinned Hummingbird,N/A
0093,Apodiformes,Trochilidae,Archilochus colubris,Ruby-Throated Hummingbird,N/A
0094,Pelecaniformes,Ardeidae,Ardea alba,Great Egret,N/A
0095,Pelecaniformes,Ardeidae,Ardea herodias,Great Blue Heron,N/A
0096,Pelecaniformes,Ardeidae,Ardea herodias herodias,Great Blue Heron (herodias subspecies),N/A
0097,Pelecaniformes,Ardeidae,Ardea herodias occidentalis,Great Blue Heron (occidentalis subspecies),N/A
0098,Pelecaniformes,Ardeidae,Ardea herodias wardi,Great Blue Heron (wardi subspecies),N/A
